agent_id,region,timezone,shift_pattern,shift_start_local
101,US,America/Los_Angeles,M-F,08:30
102,US,America/Los_Angeles,M-F,08:30
103,US,America/Los_Angeles,M-F,08:30
104,US,America/Chicago,M-F,08:00
105,US,America/Chicago,M-F,08:00
106,EMEA,Europe/Dublin,M-F,10:00
107,EMEA,Europe/Amsterdam,T-SAT,07:00
108,EMEA,Europe/London,M-F,08:00
109,EMEA,Europe/Amsterdam,T-SAT,07:00
110,EMEA,Europe/Rome,M-F,09:00
111,APAC,Asia/Singapore,M-F,09:00
112,APAC,Asia/Singapore,M-F,09:00
113,APAC,Asia/Tokyo,M-F,08:00
114,APAC,Asia/Tokyo,M-F,08:00
201,US,America/New_York,M-F,09:00
202,US,America/Chicago,M-F,08:00
203,US,America/Denver,T-SAT,09:00
204,US,America/Los_Angeles,M-F,08:30
205,APAC,Asia/Singapore,M-F,09:00
301,US,America/New_York,M-F,08:00
302,EMEA,Europe/London,M-F,09:00
303,EMEA,Europe/Dublin,SUN-TH,08:30
304,US,America/Chicago,M-F,09:00
305,US,America/Los_Angeles,T-SAT,08:00
306,APAC,Asia/Singapore,M-F,08:00
307,APAC,Asia/Singapore,M-F,07:00
401,US,America/Chicago,M-F,09:00
402,EMEA,Europe/London,M-F,09:00
403,EMEA,Europe/Amsterdam,T-SAT,07:00
404,APAC,Asia/Singapore,T-SAT,08:00
405,EMEA,Europe/Amsterdam,T-SAT,07:00
406,APAC,Asia/Singapore,T-SAT,08:00
407,US,America/Chicago,M-F,09:00
408,US,America/Los_Angeles,M-F,09:00